Apollo NEA quantity: 506 (how many times we can actually see NEA asteroids)
Apollo NEA Unique quantity: 228
Apollo NEAs: 
b'-' b'2014 VL6' b'21 37 47.2003' b'-18 05 6.680' b'NEA>Apollo' b'23.5' b'5.548' b'473.81' b'324.44666777339944' b'-18.085188926921482' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2014+VL6'
b'90416' b'2003 YK118' b'21 52 3.0197' b'-17 39 15.030' b'NEA>Apollo' b'21.4' b'0.052' b'460.7' b'328.01258202189354' b'-17.654174978613202' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2003+YK118'
b'-' b'2007 EA26' b'22 05 17.1007' b'-15 34 36.660' b'NEA>Apollo' b'26.6' b'0.262' b'500.404' b'331.3212528371001' b'-15.576849947902168' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2007+EA26'
b'-' b'2021 CZ7' b'22 31 57.1810' b'-14 13 2.100' b'NEA>Apollo' b'31.5' b'0.0' b'792.557' b'337.988254217329' b'-14.217250001766784' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2021+CZ7'
b'449089' b'2012 SC22' b'22 36 53.3745' b'-13 44 59.592' b'NEA>Apollo' b'24.7' b'0.056' b'200.081' b'339.2223939250882' b'-13.749886764676749' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2012+SC22'
b'-' b'2001 YP3' b'22 55 59.5118' b'-12 18 16.973' b'NEA>Apollo' b'28.8' b'0.289' b'614.75' b'343.99796592359564' b'-12.304714684899906' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2001+YP3'
b'-' b'2015 TL178' b'22 57 51.1241' b'-12 18 23.790' b'NEA>Apollo' b'27.1' b'0.166' b'598.381' b'344.4630169642933' b'-12.306608464538465' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2015+TL178'
b'-' b'2007 RU17' b'23 00 45.8384' b'-12 07 39.966' b'NEA>Apollo' b'24.8' b'0.041' b'204.485' b'345.1909931593569' b'-12.127768375401505' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2007+RU17'
b'-' b'2007 RU17' b'23 00 46.9408' b'-12 07 33.642' b'NEA>Apollo' b'24.8' b'0.041' b'209.306' b'345.19558665138186' b'-12.126011779620807' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2007+RU17'
b'-' b'2007 RU17' b'23 00 48.0431' b'-12 07 27.320' b'NEA>Apollo' b'24.8' b'0.041' b'381.433' b'345.2001796764462' b'-12.124255419325742' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2007+RU17'
