Amor NEA quantity: 353 (how many times we can actually see NEA asteroids)
Amor NEA Unique quantity: 187
Amor NEAs: 
b'420187' b'2011 GA55' b'22 02 29.0040' b'-16 20 49.063' b'NEA>Amor' b'20.8' b'0.715' b'653.069' b'330.6208498337108' b'-16.34696182190195' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2011+GA55'
b'420187' b'2011 GA55' b'22 02 33.6095' b'-16 20 16.863' b'NEA>Amor' b'20.8' b'0.715' b'435.877' b'330.6400393803031' b'-16.33801739094019' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2011+GA55'
b'420187' b'2011 GA55' b'22 02 38.2141' b'-16 19 44.659' b'NEA>Amor' b'20.8' b'0.715' b'219.971' b'330.65922553269337' b'-16.329071938394687' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2011+GA55'
b'420187' b'2011 GA55' b'22 02 42.8180' b'-16 19 12.452' b'NEA>Amor' b'20.8' b'0.715' b'41.082' b'330.6784082914546' b'-16.320125467130218' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2011+GA55'
b'420187' b'2011 GA55' b'22 02 47.4210' b'-16 18 40.241' b'NEA>Amor' b'20.8' b'0.715' b'223.349' b'330.69758765715983' b'-16.311177977719762' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2011+GA55'
b'420187' b'2011 GA55' b'22 02 52.0233' b'-16 18 8.026' b'NEA>Amor' b'20.8' b'0.715' b'439.288' b'330.716763630382' b'-16.302229472455114' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2011+GA55'
b'420187' b'2011 GA55' b'22 02 56.6247' b'-16 17 35.808' b'NEA>Amor' b'20.8' b'0.715' b'656.469' b'330.735936209975' b'-16.29327995420109' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2011+GA55'
b'420187' b'2011 GA55' b'22 03 1.2253' b'-16 17 3.586' b'NEA>Amor' b'20.8' b'0.715' b'873.965' b'330.7551053988039' b'-16.28432942353065' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2011+GA55'
b'494696' b'2004 RN335' b'23 00 55.0140' b'-12 00 20.661' b'NEA>Amor' b'22.7' b'0.871' b'579.521' b'345.2292249972314' b'-12.005739073619829' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2004+RN335'
b'494696' b'2004 RN335' b'23 00 59.2456' b'-11 59 57.970' b'NEA>Amor' b'22.7' b'0.871' b'377.273' b'345.24685660339674' b'-11.999436068048007' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2004+RN335'
b'494696' b'2004 RN335' b'23 01 3.4769' b'-11 59 35.276' b'NEA>Amor' b'22.7' b'0.871' b'175.175' b'345.2644868951969' b'-11.993132353727384' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2004+RN335'
b'494696' b'2004 RN335' b'23 01 7.7078' b'-11 59 12.581' b'NEA>Amor' b'22.7' b'0.871' b'29.93' b'345.2821158732049' b'-11.986827931803875' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2004+RN335'
b'494696' b'2004 RN335' b'23 01 11.9384' b'-11 58 49.882' b'NEA>Amor' b'22.7' b'0.871' b'230.13' b'345.2997435368476' b'-11.980522803423414' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2004+RN335'
b'494696' b'2004 RN335' b'23 01 16.1688' b'-11 58 27.181' b'NEA>Amor' b'22.7' b'0.871' b'432.292' b'345.31736988612516' b'-11.974216968585994' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2004+RN335'
b'494696' b'2004 RN335' b'23 01 20.3988' b'-11 58 4.478' b'NEA>Amor' b'22.7' b'0.871' b'634.541' b'345.33499492046457' b'-11.96791042901048' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2004+RN335'
b'494696' b'2004 RN335' b'23 01 24.6285' b'-11 57 41.771' b'NEA>Amor' b'22.7' b'0.871' b'836.813' b'345.3526186404388' b'-11.961603185269839' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2004+RN335'
b'-' b'2014 EF4' b'22 04 28.3261' b'-10 41 16.205' b'NEA>Amor' b'27.6' b'9.85' b'569.597' b'331.1180254846709' b'-10.687834766812582' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2014+EF4'
b'458436' b'2011 AL52' b'21 07 12.3125' b'-10 25 35.540' b'NEA>Amor' b'23.8' b'0.761' b'403.174' b'316.8013021876495' b'-10.426539024201901' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2011+AL52'
b'-' b'2002 MY' b'00 01 31.9236' b'-07 52 20.433' b'NEA>Amor' b'25.1' b'0.749' b'861.963' b'0.3830149109322164' b'-7.872342454181611' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2002+MY'
b'-' b'2002 MY' b'00 01 36.3225' b'-07 51 57.450' b'NEA>Amor' b'25.1' b'0.749' b'786.309' b'0.401343885229442' b'-7.865958230123453' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2002+MY'
b'-' b'2016 DZ' b'00 10 40.2662' b'-03 24 54.268' b'NEA>Amor' b'28.3' b'71.642' b'455.751' b'2.667776004830937' b'-3.4150743260558007' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2016+DZ'
b'-' b'2010 CM' b'00 20 13.0308' b'-02 48 37.498' b'NEA>Amor' b'24.4' b'0.102' b'434.784' b'5.054295142260448' b'-2.8104161632511997' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2010+CM'
b'-' b'2010 HD33' b'00 20 50.2745' b'-02 53 19.006' b'NEA>Amor' b'24.5' b'0.405' b'535.198' b'5.209477185242032' b'-2.888612835795402' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2010+HD33'
b'-' b'2021 CY1' b'00 20 54.1297' b'-03 04 9.727' b'NEA>Amor' b'28.7' b'0.0' b'758.919' b'5.225540498206026' b'-3.069368514782337' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2021+CY1'
b'-' b'2002 TS67' b'00 41 40.9110' b'-01 29 25.709' b'NEA>Amor' b'22.0' b'0.128' b'287.298' b'10.420462356439717' b'-1.490474689533505' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2002+TS67'
b'-' b'2015 TT351' b'00 47 39.5038' b'-01 16 31.038' b'NEA>Amor' b'25.1' b'0.265' b'896.977' b'11.914599043268407' b'-1.2752883620420976' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2015+TT351'
